sku,attribute_set_code,unit_per_pack,product_type,name,weight,product_online,visibility,price,base_image,created_at,qty,parent_sku,brand,color,cost,flavor,manufacturer,nicotine_level,puff_counts,reg_category,volume,pack_size,canonical_name,single_product_sku,original_qty
DLOMYP500518,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Peach Mango Watermelon,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Peach Mango Watermelon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | peach mango watermelon,,0
DLOMYP500518,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Peach Mango Watermelon,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Peach Mango Watermelon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | peach mango watermelon,,0
DLOMYP500519,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mad Blue,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Mad Blue,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | mad blue,,0
DLOMYP500519,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mad Blue,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Mad Blue,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | mad blue,,0
DLOMYP500519,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mad Blue,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Mad Blue,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | mad blue,,0
DLOMYP500520,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Peach Lemonade,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Cherry Peach Lemonade,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | cherry peach lemonade,,0
DLOMYP500520,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Peach Lemonade,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Cherry Peach Lemonade,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | cherry peach lemonade,,0
DLOMYP500520,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Peach Lemonade,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Cherry Peach Lemonade,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | cherry peach lemonade,,0
DLOMYP500521,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Cola,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:04 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Cherry Cola,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | cherry cola,,0
DLOMYP500521,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Cola,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:04 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Cherry Cola,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | cherry cola,,0
