default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DLOMYP500522,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Acai Berry Storm Ice (Luster Edition),Disposables,99.95,81.0,goods,0,Acai Berry Storm Ice (Luster Edition),,50mg,10
DLOMYP500522,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Acai Berry Storm Ice (Luster Edition),Disposables,99.95,81.0,goods,0,Acai Berry Storm Ice (Luster Edition),,50mg,10
DLOMYP500522,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Acai Berry Storm Ice (Luster Edition),Disposables,99.95,81.0,goods,0,Acai Berry Storm Ice (Luster Edition),,50mg,10
DLOMYP500523,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Berry Crush Ice (Luster Edition),Disposables,99.95,81.0,goods,0,Berry Crush Ice (Luster Edition),,50mg,10
DLOMYP500523,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Berry Crush Ice (Luster Edition),Disposables,99.95,81.0,goods,0,Berry Crush Ice (Luster Edition),,50mg,10
DLOMYP500523,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Berry Crush Ice (Luster Edition),Disposables,99.95,81.0,goods,0,Berry Crush Ice (Luster Edition),,50mg,10
DLOMYP500524,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Strawnana (Luster Edition),Disposables,99.95,81.0,goods,0,Black Strawnana (Luster Edition),,50mg,10
DLOMYP500524,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Strawnana (Luster Edition),Disposables,99.95,81.0,goods,0,Black Strawnana (Luster Edition),,50mg,10
DLOMYP500524,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Strawnana (Luster Edition),Disposables,99.95,81.0,goods,0,Black Strawnana (Luster Edition),,50mg,10
DLOMYP500525,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Lemon Lime Sparkling (Luster Edition),Disposables,99.95,81.0,goods,0,Lemon Lime Sparkling (Luster Edition),,50mg,10
DLOMYP500525,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Lemon Lime Sparkling (Luster Edition),Disposables,99.95,81.0,goods,0,Lemon Lime Sparkling (Luster Edition),,50mg,10
DLOMYP500525,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Lemon Lime Sparkling (Luster Edition),Disposables,99.95,81.0,goods,0,Lemon Lime Sparkling (Luster Edition),,50mg,10
DLOMYP500526,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Raspberry Lemonade (Luster Edition),Disposables,99.95,81.0,goods,0,Raspberry Lemonade (Luster Edition),,50mg,10
DLOMYP500526,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Raspberry Lemonade (Luster Edition),Disposables,99.95,81.0,goods,0,Raspberry Lemonade (Luster Edition),,50mg,10
DLOMYP500526,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Raspberry Lemonade (Luster Edition),Disposables,99.95,81.0,goods,0,Raspberry Lemonade (Luster Edition),,50mg,10
DLOMYP400501,Lost Mary OS5000 4% Disposable-10-Pack-Banana Duo-4%,Disposables,98.99,80.0,goods,0,Banana Duo,,4%,10
