SKU,Name,Price,Cost,Quantity,UPC,Weight,Volume,Nicotine_Level,Flavor,Unit_Per_Pack,Location_1,Qty_1
DPFBAP500005,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Menthol",40.50,30.00,0,,,,,,,Z,0
JSVGIS031002,"Sugoi Vapor Series (100mL) -Gi-3mg",10.00,5.00,153,644216693863,,,,,,J-7-3,153
JSVGIS061003,"Sugoi Vapor Series (100mL) -Gi-6mg",10.00,5.00,163,644216693962,,,,,,J-7-3,163
JSVRES031002,"Sugoi Vapor Series (100mL) -Rei-3mg",9.99,7.73,0,,,,,,,Z,0
JSVRES031003,"Sugoi Vapor Series (100mL) -Rei-6mg",9.99,7.73,151,752830784567,,,,,,J-3-1,151
JSVRYS031002,"Sugoi Vapor Series (100mL) -Ryu-3mg",6.75,5.00,100,,,,,,,J-3-2,101
JSVRYS061003,"Sugoi Vapor Series (100mL) -Ryu-6mg",6.75,5.00,160,,,,,,,J-3-2,160
JYVCCS031002,"Yami Vapors Chibi Bar Series 100ML-3mg-Choconola",8.99,7.90,144,752830981836,,,,,,Z,144
JYMMGS005001,"Yami Vapors Series 100ML-0mg-Milkgat",9.95,7.50,198,752830187139,,,,,,Z,198
JYA100YU00,"Yami Vapors Series 100ML-0mg-Yuki",3.27,2.42,0,,,,,,,Z,0
JYMBBS035002,"Yami Vapors Series 100ML-3mg-Butter Brew",9.95,7.50,733,701197971806,,,,,,Z,849
JYMITS065003,"Yami Vapors Series 100ML-6mg-Icy Trio",9.95,7.50,265,701197973909,,,,,,Z,311
JYMJUS065003,"Yami Vapors Series 100ML-6mg-Juusu",9.95,7.50,975,752830923850,,,,,,Z,1015
JYMKMS065003,"Yami Vapors Series 100ML-6mg-Kemuri",9.95,7.50,894,644216148875,,,,,,Z,954
JYMMGS065003,"Yami Vapors Series 100ML-6mg-Milkgat",9.95,7.50,337,752830187436,,,,,,Z,337
JYMSKS065001,"Yami Vapors Series 100ML-6mg-Shaka",4.05,3.00,255,752830801660,,,,,,Z,196
JYMTTS065003,"Yami Vapors Series 100ML-6mg-Taruto",11.50,5.00,0,701197971875,,,,,,Z,0
JYMITS005001,"Yami Vapors Series 100ML-0mg-Icy Trio",9.95,7.50,642,701197973886,,,,,,Z,642
PJUULP300001,"Juul Pods 4-Pack - 3% - Classic Menthol",17.50,9.65,0,,,,,,,Z,0
PJUULP300002,"Juul Pods 4-Pack - 3% - Virginia Tobacco",17.50,9.65,0,,,,,,,Z,0
COIL31,"Vaporesso Target PM80 Replacement Pod 2 Pack",2.70,1.90,3,,,,,,,Z,3
COIL07,"SMOK RPM80 Pods 3 Pack - RPM Coil Compatible",4.05,3.10,2,,,,,,,Z,6
JHSSZS352001,"Halo Salts Collection 30ML - 35mg - Subzero",7.90,5.85,0,,,,,,,Z,0
