id,name,product_type,retailer_sku,vendor_sku,price,cost,vendor_name,purchase_name,manage_inventory,quantity_available,in_stock,leadtime_days,backordered_until,vendor_leadtime_days,upc,mpn,other_barcode,price_msrp,price_map,active,dimensions_units,height_dimension,width_dimension,length_dimension,depth_dimension,diameter_dimension,other_dimensions,weight,weight_units,custom_text_1,custom_text_2,custom_text_3
46616770,Fruitia x Esco Bars Disposable 2500 Puffs 10-Pack-50mg-Sun Kissed,simple,DFRESP50006,DFRESP50006,95.0,66.0,NV01,Fruitia x Esco Bars Disposable 2500 Puffs 10-Pack-50mg-Sun Kissed,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
46663554,Pod Juice Salt Series 30ML-35mg-Cookies and Cream,simple,ONT026405,ONT026405,8.5,5.75,__multiple__,POJU - Pod Juice (LIQ Salt)(30mL) TFN - Cookies & Cream 35mg,true,207,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
46663555,Pod Juice Salt Series 30ML-35mg-Blueberry Muffin,simple,ONT026401,ONT026401,8.5,5.75,__multiple__,POJU - Pod Juice (LIQ Salt)(30mL) TFN - Blueberry Muffin 35mg,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
46663556,Pod Juice Salt Series 30ML-55mg-Churro,simple,ONT026404,ONT026404,8.5,0.0,NV01,Pod Juice Salt Series 30ML-55mg-Churro,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
46663557,Pod Juice Salt Series 30ML-55mg-Cookies and Cream,simple,ONT026406,ONT026406,8.5,5.75,__multiple__,POJU - Pod Juice (LIQ Salt)(30mL) TFN - Cookies & Cream 55mg,true,66,true,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
46663558,Pod Juice Salt Series 30ML-55mg-Blueberry Muffin,simple,ONT026402,ONT026402,8.5,5.75,__multiple__,POJU - Pod Juice (LIQ Salt)(30mL) TFN - Blueberry Muffin 55mg,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,0.2,,,,
46671786,Hyde N-Bar Recharge Disposable 10-Pack-Rainbow,simple,Hyde N-Bar Recharge Disposable 10-Pack-Rainbow,Hyde N-Bar Recharge Disposable 10-Pack-Rainbow,99.99,78.0,NV01,Hyde N-Bar Recharge Disposable 10-Pack-Rainbow,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
46701620,SnowWolf Max 6000 Rechargeable Disposable 10-Pack-Apple Grape Ice,simple,K15928,K15928,43.5,20.0,__multiple__,SnowWolf Max 6000 Rechargeable Disposable 10-Pack-Apple Grape Ice,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
46701621,SnowWolf Max 6000 Rechargeable Disposable 10-Pack-Cool Mint,simple,K15918,K15918,43.5,20.0,__multiple__,SnowWolf Max 6000 Rechargeable Disposable 10-Pack-Cool Mint,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
46701622,SnowWolf Max 6000 Rechargeable Disposable 10-Pack-Lush Ice,simple,K15924,K15924,43.5,20.0,__multiple__,SnowWolf Max 6000 Rechargeable Disposable 10-Pack-Lush Ice,true,0,,,,1,,,,,0.0,true,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,
